numero_national_de_structure;libelle;sigle;annee_de_creation;type_de_structure;code_de_type_de_structure;code_de_niveau_de_structure;site_web;adresse;code_postal;commune;nom_du_responsable;prenom_du_responsable;titre_du_responsable;label_numero;tutelles;sigles_des_tutelles;code_de_nature_de_tutelle;nature_de_tutelle;uai_des_tutelles;siret_des_tutelles;code_de_type_de_tutelle;type_de_tutelle;numero_de_structure_enfant;numero_de_structure_parent;numero_de_structure_historique;type_de_succession;code_de_type_de_succession;annee_d_effet_historique;code_domaine_scientifique;domaine_scientifique;code_panel_erc;panel_erc;fiche_rnsr
199512081H;LABORATOIRE DES COMPOSITES THERMOSTRUCTURAUX;LCTS;1997;Unité mixte;22;2;http://www.lcts.u-bordeaux.fr;3 Allée de la Boétie;33600;PESSAC;VIGNOLES;Gérard-Louis;DR;"UMR 5801;UMR 5801;UMR 5801;";"Centre national de la recherche scientifique;Commissariat à l'énergie atomique et aux énergies alternatives;Université de Bordeaux;SAFRAN CERAMICS";"CNRS;CEA;BORDEAUX;SAFRAN CERAMICS";"EPST;EPIC;UNIV;PRIVE";"Organismes de type EPST;Organismes de type EPIC;Université;Société de droit privé française";"0753639Y;0912281K;0333298F;";"18008901303720;77568501900587;13001835100010;44051305900087";"TUTE;TUTE;TUTE;TUTE";"établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle";;;;;;;"4;8";"Chimie;Sciences pour l'ingénieur";"PE5;PE8";"Materials and synthesis : materials synthesis, structure-properties relations, functional and advanced materials, molecular architecture, organic chemistry;Products and processes engineering : product design, process design and control, construction methods, civil engineering, energysystems, material engineering";https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199512081H&PUBLIC=OK
201521807T;Cerema Direction Territoriale Centre-Est;Cerema-CE;2014;Unité propre;21;2;http://www.centre-est.cerema.fr;Cité des Mobilités 25, avenue François Mitterrand - CS 92 803;69674;Bron Cedex;"THON;BOURGEOIS";"Dominique;Séverine";";";;Centre d'études et d'expertise sur les risques, l'environnement, la mobilité et l'aménagement;CEREMA;EPA;Etablissement public à caractère administratif;;13001831000016;TUTE;établissement tutelle;;;;;;;;;PE8;Products and processes engineering : product design, process design and control, construction methods, civil engineering, energysystems, material engineering;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201521807T&PUBLIC=OK
199511969L;Techniques de l'Ingénierie Médicale et de la Complexité - Informatique, Mathématiques et Applications, Grenoble;TIMC-IMAG;1995;Unité mixte;22;2;http://www-timc.imag.fr;Pavillon Taillefer;38700;LA TRONCHE;"BOUCHER;MOREAU-GAUDRY;CINQUIN;PAYAN";"François;Alexandre;Philippe;Yohan";"DIR-ADJ;Directeur adjoint;Directeur;DIR-ADJ";"UMR 5525;UMR 5525;UMR 5525;UMR 5525";"VetAgro Sup;Centre national de la recherche scientifique;Université Grenoble Alpes;Institut polytechnique de Grenoble";"VETAGRO SUP;CNRS;GRENOBLE ALPES;GRENOBLE INP";"AUT_ETAB;EPST;UNIV;AUT_ETAB";"Autres établissements ESR;Organismes de type EPST;Université;Autres établissements ESR";"0690193K;0753639Y;0383546Y;0381912X";"13000858400018;18008901303720;13002608100013;19381912500017";"TUTE;TUTE;TUTE;PART";"établissement tutelle;établissement tutelle;établissement tutelle;établissement participant";;201019867F;;;;;"1;5;8;9";"Mathématiques et leurs interactions;Biologie, médecine et santé;Sciences pour l'ingénieur;Sciences et technologies de l'information et de la communication";"PE1;LS7;PE8;PE6";"Mathematical foundations : all areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics;Diagnostic tools, therapies and public health : aetiology, diagnosis and treatment of disease, public health, epidemiology, pharmacology, clinical medicine, regenerative medicine, medical ethics;Products and processes engineering : product design, process design and control, construction methods, civil engineering, energysystems, material engineering;Computer science and informatics : informatics and information systems, computer science, scientific computing, intelligent systems";https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199511969L&PUBLIC=OK
199411998X;LABORATOIRE DE BIOMÉTRIE ET BIOLOGIE EVOLUTIVE;LBBE;1995;Unité mixte;22;2;http://lbbe.univ-lyon1.fr/;Université Claude Bernard Lyon 1 - Bâtiment Mendel - Campus Lyon Tech la Doua - 43 boulevard du 11 Novembre 1918;69622;VILLEURBANNE CEDEX;"DESOUHANT;VAVRE";"Emmanuel;Fabrice";"Dirececteur adjoint;Directeur";"UMR 5558;UMR 5558;UMR 5558;UMR 5558;UMR 5558;UMR 5558;";"VetAgro Sup;Université Claude Bernard Lyon 1;Centre national de la recherche scientifique;Institut national de la sante et de la recherche medicale;Institut national de la recherche en informatique et automatique;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;Hospices Civils de Lyon";"VETAGRO SUP;LYON 1;CNRS;INSERM;INRIA;INRAE;HCL - CHU LYON";"AUT_ETAB;UNIV;EPST;EPST;EPST;EPST;MEDIC";"Autres établissements ESR;Université;Organismes de type EPST;Organismes de type EPST;Organismes de type EPST;Organismes de type EPST;Etablissements de santé";"0690193K;0691774D;0753639Y;0755364Y;0780491K;;0693209N";"13000858400018;19691774400019;18008901303720;18003604800015;18008904700013;18007003901803;26690027300019";"TUTE;TUTE;TUTE;PART;PART;PART;PART";"établissement tutelle;établissement tutelle;établissement tutelle;établissement participant;établissement participant;établissement participant;établissement participant";"201521243E;201120997E;200920929P;200118258W";"201119599K;201119591B";;;;;10;Sciences agronomiques et écologiques;"LS2;LS8;LS7";"Genetics, Genomics, Bioinformatics and Systems Biology : genetics, population genetics, molecular genetics, genomics, transcriptomics, proteomics, metabolomics, bioinformatics, computational biology, biostatistics, biological modelling and simulation, sys;Evolutionary, population and environmental biology : evolution, ecology, animal behaviour, population biology, biodiversity, biogeography, marine biology, eco-toxicology, prokaryotic biology;Diagnostic tools, therapies and public health : aetiology, diagnosis and treatment of disease, public health, epidemiology, pharmacology, clinical medicine, regenerative medicine, medical ethics";https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199411998X&PUBLIC=OK
199512000V;Laboratoire d'aérologie;LAERO;1995;Unité mixte;22;2;http://www.aero.obs-mip.fr/;14 avenue Edouard Belin;31400;TOULOUSE;"COQUILLAT;THOURET;SERÇA";"Sylvain;Valérie;Dominique";"Directeur;Directrice adjointe;Directeur adjoint";"UMR 5560;UMR 5560;";"Université Toulouse 3 - Paul Sabatier;Centre national de la recherche scientifique;Institut de recherche pour le developpement";"TOULOUSE 3;CNRS;IRD";"UNIV;EPST;EPST";"Université;Organismes de type EPST;Organismes de type EPST";"0311384L;0753639Y;0133973Y";"19311384200010;18008901303720;18000602500159";"TUTE;TUTE;PART";"établissement tutelle;établissement tutelle;établissement participant";;200719584L;;;;;3;Sciences de la terre et de l'univers, espace;PE10;Earth system science : physical geography, geology, geophysics, meteorology, oceanography, climatology, ecology, global environmental change, biogeochemical cycles, natural resources management;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199512000V&PUBLIC=OK
199911764W;INSTITUT DE BIOLOGIE STRUCTURALE;IBS;1999;Unité mixte;22;2;http://www.ibs.fr/;71 rue des Martyrs;38044;GRENOBLE CEDEX 9;"BREYTON;BLACKLEDGE;WEISSENHORN";"Cecile;Martin;Winfried";"DIR-ADJ;DIR-ADJ;DIR";"UMR 5075;UMR 5075;UMR 5075";"Centre national de la recherche scientifique;Commissariat à l'énergie atomique et aux énergies alternatives;Université Grenoble Alpes";"CNRS;CEA;GRENOBLE ALPES";"EPST;EPIC;UNIV";"Organismes de type EPST;Organismes de type EPIC;Université";"0753639Y;0912281K;0383546Y";"18008901303720;77568501900587;13002608100013";"TUTE;TUTE;TUTE";"établissement tutelle;établissement tutelle;établissement tutelle";201320581U;"200719855F;201622496M;201923169F";;;;;"2;5";"Physique;Biologie, médecine et santé";"LS2;LS1";"Genetics, Genomics, Bioinformatics and Systems Biology : genetics, population genetics, molecular genetics, genomics, transcriptomics, proteomics, metabolomics, bioinformatics, computational biology, biostatistics, biological modelling and simulation, sys;Molecular and Structural Biology and Biochemistry : molecular biology, biochemistry, biophysics, structural biology, biochemistry of signal transduction";https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199911764W&PUBLIC=OK
199911771D;CENTRE INTERUNIVERSITAIRE DE RECHERCHE ET D'INGÉNIÉRIE DES MATÉRIAUX;CIRIMAT;1999;Unité mixte;22;2;http://www.cirimat.cnrs.fr/;118 route de Narbonne;31062;TOULOUSE CEDEX 9;"LAURENT;POQUILLON";"Christophe;Dominique";"DIRECTEUR;DIRECTRICE ADJOINTE";"UMR 5085;UMR 5085;UMR 5085";"Institut National Polytechnique Toulouse;Université Toulouse 3 - Paul Sabatier;Centre national de la recherche scientifique";"INP TOULOUSE;TOULOUSE 3;CNRS";"AUT_ETAB;UNIV;EPST";"Autres établissements ESR;Université;Organismes de type EPST";"0311381H;0311384L;0753639Y";"19311381800127;19311384200010;18008901303720";"TUTE;TUTE;TUTE";"établissement tutelle;établissement tutelle;établissement tutelle";;"201119585V;200720475E;201120480T;201420833N";;;;;"4;8";"Chimie;Sciences pour l'ingénieur";PE5;Materials and synthesis : materials synthesis, structure-properties relations, functional and advanced materials, molecular architecture, organic chemistry;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199911771D&PUBLIC=OK
199511789R;VERIMAG;VERIMAG;1999;Unité mixte;22;2;http://www-verimag.imag.fr/;Bâtiment IMAG - 700 avenue centrale;38401;Saint-Martin-d'Hères;"MARANINCHI;GRAF";"Florence;Susanne";"DIR;DIR-ADJ";"UMR 5104;UMR 5104;UMR 5104";"Centre national de la recherche scientifique;Université Grenoble Alpes;Institut polytechnique de Grenoble";"CNRS;GRENOBLE ALPES;GRENOBLE INP";"EPST;UNIV;AUT_ETAB";"Organismes de type EPST;Université;Autres établissements ESR";"0753639Y;0383546Y;0381912X";"18008901303720;13002608100013;19381912500017";"TUTE;TUTE;PART";"établissement tutelle;établissement tutelle;établissement participant";;;;;;;9;Sciences et technologies de l'information et de la communication;PE6;Computer science and informatics : informatics and information systems, computer science, scientific computing, intelligent systems;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199511789R&PUBLIC=OK
200111812P;Institut de la Microélectronique, Electromagnétisme et Photonique - Laboratoire d'Hyperfréquences et de Caractérisation;IMEP-LaHC;2001;Unité mixte;22;2;http://imep-lahc.grenoble-inp.fr;3 parvis Louis Neel;38016;GRENOBLE CEDEX 1;"BROQUIN;KAMINSKI;COUTAZ;KAMINSKI-CACHOPO;KAMINSKI;GARET;GHIBAUDO";"Jean-Emmanuel;Anne;Jean-Louis;Anne;Anne;Frédéric;Elise";"DIR;DIR-ADJ;DIR-ADJ;DIR-ADJ;Directrice;Directeur Adjoint;Directrice Adjointe";"UMR 5130;UMR 5130;UMR 5130;UMR 5130";"Institut polytechnique de Grenoble;Université Savoie Chambéry;Centre national de la recherche scientifique;Université Grenoble Alpes";"GRENOBLE INP;CHAMBERY;CNRS;GRENOBLE ALPES";"AUT_ETAB;UNIV;EPST;UNIV";"Autres établissements ESR;Université;Organismes de type EPST;Université";"0381912X;0730858L;0753639Y;0383546Y";"19381912500017;19730858800015;18008901303720;13002608100013";"TUTE;TUTE;TUTE;PART";"établissement tutelle;établissement tutelle;établissement tutelle;établissement participant";;200319572R;"199511975T;199511974S";"fusion;fusion";"F;F";"2001;2001";9;Sciences et technologies de l'information et de la communication;PE7;Systems and communication engineering : electronic, communication, optical and systems engineering;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200111812P&PUBLIC=OK
200311815J;ARCHEORIENT ENVIRONNEMENTS ET SOCIETES DE L'ORIENT ANCIEN;;2003;Unité mixte;22;2;http://www.archeorient.mom.fr;7 rue Raulin;69365;LYON CEDEX 07;VILA;Emmanuelle;DIR;"UMR 5133;UMR 5133";"Université Lumière Lyon 2;Centre national de la recherche scientifique";"LYON 2;CNRS";"UNIV;EPST";"Université;Organismes de type EPST";"0691775E;0753639Y";"19691775100014;18008901303720";"TUTE;TUTE";"établissement tutelle;établissement tutelle";;;199112069M;éclatement;E;2003;"7;10";"Sciences de la société;Sciences agronomiques et écologiques";;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200311815J&PUBLIC=OK
200311846T;EVOLUTION ET DIVERSITE BIOLOGIQUE;EDB;2003;Unité mixte;22;2;https://edb.cnrs.fr/;118 route de Narbonne;31062;TOULOUSE CEDEX 9;"OBERDORFF;CHAVE;HEMPTINNE";"Thierry;Jérôme;Jean-Louis";"Dir-adj;Directeur;Dir-adj";"UMR 5174;UMR 5174;";"Université Toulouse 3 - Paul Sabatier;Centre national de la recherche scientifique;Institut de recherche pour le developpement";"TOULOUSE 3;CNRS;IRD";"UNIV;EPST;EPST";"Université;Organismes de type EPST;Organismes de type EPST";"0311384L;0753639Y;0133973Y";"19311384200010;18008901303720;18000602500159";"TUTE;TUTE;PART";"établissement tutelle;établissement tutelle;établissement participant";;201119601M;"199512014K;199511993M";"éclatement - fusion;éclatement - fusion";"EF;EF";"2003;2003";5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200311846T&PUBLIC=OK
200311854B;LABORATOIRE DE CHIMIE;LCH;2003;Unité mixte;22;2;http://www.ens-lyon.fr/CHIMIE/;46 Allée d'Italie;69364;LYON CEDEX 07;"PAROLA;MICHEL";"Stéphane;Carine";"Directeur;Directrice adjointe";"UMR 5182;UMR 5182;UMR 5182";"Université Claude Bernard Lyon 1;Centre national de la recherche scientifique;Ecole Normale Supérieure de Lyon";"LYON 1;CNRS;ENS LYON";"UNIV;EPST;AUT_ETAB";"Université;Organismes de type EPST;Autres établissements ESR";"0691774D;0753639Y;0694123G";"19691774400019;18008901303720;13000812100019";"TUTE;TUTE;TUTE";"établissement tutelle;établissement tutelle;établissement tutelle";;"200710696A;201119599K";"199817337H;199811976F";"éclatement - fusion;éclatement - fusion";"EF;EF";"2003;2003";2;Physique;PE4;Physical and analytical chemical sciences : analytical chemistry, chemical theory, physical chemistry/chemical physics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200311854B&PUBLIC=OK
200511872M;Institut de Systématique, Evolution, Biodiversité;ISYEB;2009;Unité mixte;22;2;http://www.mnhn.fr/mnhn/oseb/accueil.htm;45 Rue Buffon;75005;PARIS;"DUBUISSON;GRANDCOLAS;JUSTINE;VERON";"Jean-Yves;Philippe;Jean-Lou;Géraldine";"DIR-ADJ;DIR;DIR-ADJ;DIR-ADJ";"UMR 7205;UMR 7205;UMR 7205;UMR 7205;UMR 7205;UMR 7205";"Ecole Pratique des Hautes Etudes Paris;Muséum National d'Histoire Naturelle Paris;Centre national de la recherche scientifique;Sorbonne Université;Université Paris sciences et lettres;Institut de recherche pour le developpement";"EPHE PARIS;MUSEUM PARIS;CNRS;SORBONNE UNIV.;PSL;IRD";"AUT_ETAB;AUT_ETAB;EPST;UNIV;UNIV;EPST";"Autres établissements ESR;Autres établissements ESR;Organismes de type EPST;Université;Université;Organismes de type EPST";"0753486G;0753494R;0753639Y;0755890V;0756036D;0133973Y";"19753486000105;18004417400019;18008901303720;13002338500011;13002614900018;18000602500159";"TUTE;TUTE;TUTE;TUTE;TUTE;PART";"établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement participant";;;;;;;10;Sciences agronomiques et écologiques;"LS9;LS8";"Applied life sciences and biotechnology: agricultural, animal, fishery, forestry and food sciences;biotechnology, chemical biology, genetic engineering, synthetic biology, industrial biosciences;environmental biotechnology and remediation;Evolutionary, population and environmental biology : evolution, ecology, animal behaviour, population biology, biodiversity, biogeography, marine biology, eco-toxicology, prokaryotic biology";https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200511872M&PUBLIC=OK
200711885T;Grenoble Images Parole Signal Automatique;GIPSA-lab;2006;Unité mixte;22;2;http://www.gipsa-lab.fr/;11 rue des mathématiques;38402;ST MARTIN D HERES CEDEX;"THIRIET;MARS;MARCHAND;CHASSERY;CAPLIER";"JEAN-MARC;Jérôme;Nicolas;Jean-Marc;Alice";"DIR;Directeur;Directeur;DIR;Directrice Adjointe";"UMR 5216;UMR 5216;UMR 5216;UMR 5216";"Institut polytechnique de Grenoble;Centre national de la recherche scientifique;Université Grenoble Alpes;Institut national de la recherche en informatique et automatique";"GRENOBLE INP;CNRS;GRENOBLE ALPES;INRIA";"AUT_ETAB;EPST;UNIV;EPST";"Autres établissements ESR;Organismes de type EPST;Université;Organismes de type EPST";"0381912X;0753639Y;0383546Y;0780491K";"19381912500017;18008901303720;13002608100013;18008904700013";"TUTE;TUTE;TUTE;PART";"établissement tutelle;établissement tutelle;établissement tutelle;établissement participant";"202123950W;200718271J";201019867F;"199711769K;199511705Z;199511972P";"éclatement - fusion;éclatement - fusion;éclatement - fusion";"EF;EF;EF";"2007;2007;2007";"6;9";"Sciences humaines et humanités;Sciences et technologies de l'information et de la communication";"SH4;PE6;PE7";"The Human Mind and its complexity : cognition, psychology, linguistics, philosophy and education;Computer science and informatics : informatics and information systems, computer science, scientific computing, intelligent systems;Systems and communication engineering : electronic, communication, optical and systems engineering";https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200711885T&PUBLIC=OK
201521771D;Approximations numériques fiables pour les systèmes dissipatifs;RAPSODI;2015;Unité propre;21;2;http://www.inria.fr/equipes/rapsodi;;59650;Villeneuve d'Ascq;Chainais;Claire;;;Institut national de la recherche en informatique et automatique;INRIA;EPST;Organismes de type EPST;0780491K;18008904700013;TUTE;établissement tutelle;;"200818245B;199812852H";;;;;9;Sciences et technologies de l'information et de la communication;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201521771D&PUBLIC=OK
199711672E;Laboratoire de physique théorique de la matière condensée;LPTMC;1997;Unité mixte;22;2;http://www.lptmc.jussieu.fr/;4 Place Jussieu;75252;PARIS CEDEX 05;DELAMOTTE;Bertrand;DIR;"UMR 7600;UMR 7600";"Centre national de la recherche scientifique;Sorbonne Université";"CNRS;SORBONNE UNIV.";"EPST;UNIV";"Organismes de type EPST;Université";"0753639Y;0755890V";"18008901303720;13002338500011";"TUTE;TUTE";"établissement tutelle;établissement tutelle";;;;;;;"2;4";"Physique;Chimie";PE2;Fundamental constituents of matter : particle, nuclear, plasma, atomic, molecular, gas, and optical physics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199711672E&PUBLIC=OK
